"register_number","course_code","grade"
"2312012","23SH15C","B"
"2312012","23SH16C","A"
"2312012","23CS11C","U"
"2312012","23EE11C","B"
"2312013","23SH11C","B"
"2312013","23SH12C","B+"
"2312013","23SH13C","O"
"2312013","23SH14C","C"
"2312013","23SH15C","B+"
"2312013","23SH16C","A+"
"2312013","23CS11C","C"
"2312013","23EE11C","B"
"2312014","23SH11C","B"
"2312014","23SH12C","A"
"2312014","23SH13C","U"
"2312014","23SH14C","B"
"2312014","23SH15C","B+"
"2312014","23SH16C","O"
"2312014","23CS11C","C"
"2312014","23EE11C","B+"
"2312015","23SH11C","B+"
"2312015","23SH12C","A+"
"2312015","23SH13C","C"
"2312015","23SH14C","B"
"2312015","23SH15C","A"
"2312015","23SH16C","U"
"2312015","23CS11C","B"
"2312015","23EE11C","B+"
"2312016","23SH11C","B+"
"2312016","23SH12C","O"
"2312016","23SH13C","C"
"2312016","23SH14C","B+"
"2312016","23SH15C","A+"
"2312016","23SH16C","C"
"2312016","23CS11C","B"
"2312016","23EE11C","A"
"2312017","23SH11C","A"
"2312017","23SH12C","U"
"2312017","23SH13C","B"
"2312017","23SH14C","B+"
"2312017","23SH15C","O"
"2312017","23SH16C","C"
"2312017","23CS11C","B+"
"2312017","23EE11C","A+"
"2312018","23SH11C","A+"
"2312018","23SH12C","C"
"2312018","23SH13C","B"
"2312018","23SH14C","A"
"2312018","23SH15C","U"
"2312018","23SH16C","B"
"2312018","23CS11C","B+"
"2312018","23EE11C","O"
"2312019","23SH11C","O"
"2312019","23SH12C","C"
"2312019","23SH13C","B+"
"2312019","23SH14C","A+"
"2312019","23SH15C","C"
"2312019","23SH16C","B"
"2312019","23CS11C","A"
"2312019","23EE11C","U"
"2312020","23SH11C","U"
"2312020","23SH12C","B"
"2312020","23SH13C","B+"
"2312020","23SH14C","O"
"2312020","23SH15C","C"
"2312020","23SH16C","B+"
"2312020","23CS11C","A+"
"2312020","23EE11C","C"
"2312021","23SH11C","C"
"2312021","23SH12C","B"
"2312021","23SH13C","A"
"2312021","23SH14C","U"
"2312021","23SH15C","B"
"2312021","23SH16C","B+"
"2312021","23CS11C","O"
"2312021","23EE11C","C"
"2312022","23SH11C","C"
"2312022","23SH12C","B+"
"2312022","23SH13C","A+"
"2312022","23SH14C","C"
"2312022","23SH15C","B"
"2312022","23SH16C","A"
"2312022","23CS11C","U"
"2312022","23EE11C","B"
"2312023","23SH11C","B"
"2312023","23SH12C","B+"
"2312023","23SH13C","O"
"2312023","23SH14C","C"
"2312023","23SH15C","B+"
"2312023","23SH16C","A+"
"2312023","23CS11C","C"
"2312023","23EE11C","B"
"2312024","23SH11C","B"
"2312024","23SH12C","A"
"2312024","23SH13C","U"
"2312024","23SH14C","B"
"2312024","23SH15C","B+"
"2312024","23SH16C","O"
"2312024","23CS11C","C"
"2312024","23EE11C","B+"
"2312025","23SH11C","B+"
"2312025","23SH12C","A+"
"2312025","23SH13C","C"
"2312025","23SH14C","B"
"2312025","23SH15C","A"
"2312025","23SH16C","U"
"2312025","23CS11C","B"
"2312025","23EE11C","B+"
"2312026","23SH11C","B+"
"2312026","23SH12C","O"
"2312026","23SH13C","C"
"2312026","23SH14C","B+"
"2312026","23SH15C","A+"
"2312026","23SH16C","C"
"2312026","23CS11C","B"
"2312026","23EE11C","A"
"2312027","23SH11C","A"
"2312027","23SH12C","U"
"2312027","23SH13C","B"
"2312027","23SH14C","B+"
"2312027","23SH15C","O"
"2312027","23SH16C","C"
"2312027","23CS11C","B+"
"2312027","23EE11C","A+"
"2312028","23SH11C","A+"
"2312028","23SH12C","C"
"2312028","23SH13C","B"
"2312028","23SH14C","A"
"2312028","23SH15C","U"
"2312028","23SH16C","B"
"2312028","23CS11C","B+"
"2312028","23EE11C","O"
"2312029","23SH11C","O"
"2312029","23SH12C","C"
"2312029","23SH13C","B+"
"2312029","23SH14C","A+"
"2312029","23SH15C","C"
"2312029","23SH16C","B"
"2312029","23CS11C","A"
"2312029","23EE11C","U"
"2312030","23SH11C","U"
"2312030","23SH12C","B"
"2312030","23SH13C","B+"
"2312030","23SH14C","O"
"2312030","23SH15C","C"
"2312030","23SH16C","B+"
"2312030","23CS11C","A+"
"2312030","23EE11C","C"
"2312031","23SH11C","C"
"2312031","23SH12C","B"
"2312031","23SH13C","A"
"2312031","23SH14C","U"
"2312031","23SH15C","B"
"2312031","23SH16C","B+"
"2312031","23CS11C","O"
"2312031","23EE11C","C"
"2312032","23SH11C","C"
"2312032","23SH12C","B+"
"2312032","23SH13C","A+"
"2312032","23SH14C","C"
"2312032","23SH15C","B"
"2312032","23SH16C","A"
"2312032","23CS11C","U"
"2312032","23EE11C","B"
"2312033","23SH11C","B"
"2312033","23SH12C","B+"
"2312033","23SH13C","O"
"2312033","23SH14C","C"
"2312033","23SH15C","B+"
"2312033","23SH16C","A+"
"2312033","23CS11C","C"
"2312033","23EE11C","B"
"2312034","23SH11C","B"
"2312034","23SH12C","A"
"2312034","23SH13C","U"
"2312034","23SH14C","B"
"2312034","23SH15C","B+"
"2312034","23SH16C","O"
"2312034","23CS11C","C"
"2312034","23EE11C","B+"
"2312035","23SH11C","B+"
"2312035","23SH12C","A+"
"2312035","23SH13C","C"
"2312035","23SH14C","B"
"2312035","23SH15C","A"
"2312035","23SH16C","U"
"2312035","23CS11C","B"
"2312035","23EE11C","B+"
"2312036","23SH11C","B+"
"2312036","23SH12C","O"
"2312036","23SH13C","C"
"2312036","23SH14C","B+"
"2312036","23SH15C","A+"
"2312036","23SH16C","C"
"2312036","23CS11C","B"
"2312036","23EE11C","A"
"2312037","23SH11C","A"
"2312037","23SH12C","U"
"2312037","23SH13C","B"
"2312037","23SH14C","B+"
"2312037","23SH15C","O"
"2312037","23SH16C","C"
"2312037","23CS11C","B+"
"2312037","23EE11C","A+"
"2312038","23SH11C","A+"
"2312038","23SH12C","C"
"2312038","23SH13C","B"
"2312038","23SH14C","A"
"2312038","23SH15C","U"
"2312038","23SH16C","B"
"2312038","23CS11C","B+"
"2312038","23EE11C","O"
"2312039","23SH11C","O"
"2312039","23SH12C","C"
"2312039","23SH13C","B+"
"2312039","23SH14C","A+"
"2312039","23SH15C","C"
"2312039","23SH16C","B"
"2312039","23CS11C","A"
"2312039","23EE11C","U"
"2312040","23SH11C","U"
"2312040","23SH12C","B"
"2312040","23SH13C","B+"
"2312040","23SH14C","O"
"2312040","23SH15C","C"
"2312040","23SH16C","B+"
"2312040","23CS11C","A+"
"2312040","23EE11C","C"
"2312041","23SH11C","C"
"2312041","23SH12C","B"
"2312041","23SH13C","A"
"2312041","23SH14C","U"
"2312041","23SH15C","B"
"2312041","23SH16C","B+"
"2312041","23CS11C","O"
"2312041","23EE11C","C"
"2312042","23SH11C","C"
"2312042","23SH12C","B+"
"2312042","23SH13C","A+"
"2312042","23SH14C","C"
"2312042","23SH15C","B"
"2312042","23SH16C","A"
"2312042","23CS11C","U"
"2312042","23EE11C","B"
"2312043","23SH11C","B"
"2312043","23SH12C","B+"
"2312043","23SH13C","O"
"2312043","23SH14C","C"
"2312043","23SH15C","B+"
"2312043","23SH16C","A+"
"2312043","23CS11C","C"
"2312043","23EE11C","B"
"2312044","23SH11C","B"
"2312044","23SH12C","A"
"2312044","23SH13C","U"
"2312044","23SH14C","B"
"2312044","23SH15C","B+"
"2312044","23SH16C","O"
"2312044","23CS11C","C"
"2312044","23EE11C","B+"
"2312045","23SH11C","B+"
"2312045","23SH12C","A+"
"2312045","23SH13C","C"
"2312045","23SH14C","B"
"2312045","23SH15C","A"
"2312045","23SH16C","U"
"2312045","23CS11C","B"
"2312045","23EE11C","B+"
"2312046","23SH11C","B+"
"2312046","23SH12C","O"
"2312046","23SH13C","C"
"2312046","23SH14C","B+"
"2312046","23SH15C","A+"
"2312046","23SH16C","C"
"2312046","23CS11C","B"
"2312046","23EE11C","A"
"2312047","23SH11C","A"
"2312047","23SH12C","U"
"2312047","23SH13C","B"
"2312047","23SH14C","B+"
"2312047","23SH15C","O"
"2312047","23SH16C","C"
"2312047","23CS11C","B+"
"2312047","23EE11C","A+"
"2312048","23SH11C","A+"
"2312048","23SH12C","C"
"2312048","23SH13C","B"
"2312048","23SH14C","A"
"2312048","23SH15C","U"
"2312048","23SH16C","B"
"2312048","23CS11C","B+"
"2312048","23EE11C","O"
"2312049","23SH11C","O"
"2312049","23SH12C","C"
"2312049","23SH13C","B+"
"2312049","23SH14C","A+"
"2312049","23SH15C","C"
"2312049","23SH16C","B"
"2312049","23CS11C","A"
"2312049","23EE11C","U"
"2312050","23SH11C","U"
"2312050","23SH12C","B"
"2312050","23SH13C","B+"
"2312050","23SH14C","O"
"2312050","23SH15C","C"
"2312050","23SH16C","B+"
"2312050","23CS11C","A+"
"2312050","23EE11C","C"
"2312051","23SH11C","C"
"2312051","23SH12C","B"
"2312051","23SH13C","A"
"2312051","23SH14C","U"
"2312051","23SH15C","B"
"2312051","23SH16C","B+"
"2312051","23CS11C","O"
"2312051","23EE11C","C"
"2312052","23SH11C","C"
"2312052","23SH12C","B+"
"2312052","23SH13C","A+"
"2312052","23SH14C","C"
"2312052","23SH15C","B"
"2312052","23SH16C","A"
"2312052","23CS11C","U"
"2312052","23EE11C","B"
"2312053","23SH11C","B"
"2312053","23SH12C","B+"
"2312053","23SH13C","O"
"2312053","23SH14C","C"
"2312053","23SH15C","B+"
"2312053","23SH16C","A+"
"2312053","23CS11C","C"
"2312053","23EE11C","B"
"2312054","23SH11C","B"
"2312054","23SH12C","A"
"2312054","23SH13C","U"
"2312054","23SH14C","B"
"2312054","23SH15C","B+"
"2312054","23SH16C","O"
"2312054","23CS11C","C"
"2312054","23EE11C","B+"
"2312055","23SH11C","B+"
"2312055","23SH12C","A+"
"2312055","23SH13C","C"
"2312055","23SH14C","B"
"2312055","23SH15C","A"
"2312055","23SH16C","U"
"2312055","23CS11C","B"
"2312055","23EE11C","B+"
"2312056","23SH11C","B+"
"2312056","23SH12C","O"
"2312056","23SH13C","C"
"2312056","23SH14C","B+"
"2312056","23SH15C","A+"
"2312056","23SH16C","C"
"2312056","23CS11C","B"
"2312056","23EE11C","A"
"2312057","23SH11C","A"
"2312057","23SH12C","U"
"2312057","23SH13C","B"
"2312057","23SH14C","B+"
"2312057","23SH15C","O"
"2312057","23SH16C","C"
"2312057","23CS11C","B+"
"2312057","23EE11C","A+"
"2312058","23SH11C","A+"
"2312058","23SH12C","C"
"2312058","23SH13C","B"
"2312058","23SH14C","A"
"2312058","23SH15C","U"
"2312058","23SH16C","B"
"2312058","23CS11C","B+"
"2312058","23EE11C","O"
"2312060","23SH11C","U"
"2312060","23SH12C","B"
"2312060","23SH13C","B+"
"2312060","23SH14C","O"
"2312060","23SH15C","C"
"2312060","23SH16C","B+"
"2312060","23CS11C","A+"
"2312060","23EE11C","C"
"2312061","23SH11C","C"
"2312061","23SH12C","B"
"2312061","23SH13C","A"
"2312061","23SH14C","U"
"2312061","23SH15C","B"
"2312061","23SH16C","B+"
"2312061","23CS11C","O"
"2312061","23EE11C","C"
"2312062","23SH11C","C"
"2312062","23SH12C","B+"
"2312062","23SH13C","A+"
"2312062","23SH14C","C"
"2312062","23SH15C","B"
"2312062","23SH16C","A"
"2312062","23CS11C","U"
"2312062","23EE11C","B"
"2312063","23SH11C","B"
"2312063","23SH12C","B+"
"2312063","23SH13C","O"
"2312063","23SH14C","C"
"2312063","23SH15C","B+"
"2312063","23SH16C","A+"
"2312063","23CS11C","C"
"2312063","23EE11C","B"
"2312064","23SH11C","B"
"2312064","23SH12C","A"
"2312064","23SH13C","U"
"2312064","23SH14C","B"
"2312064","23SH15C","B+"
"2312064","23SH16C","O"
"2312064","23CS11C","C"
"2312064","23EE11C","B+"
"2312065","23SH11C","B+"
"2312065","23SH12C","A+"
"2312065","23SH13C","C"
"2312065","23SH14C","B"
"2312065","23SH15C","A"
"2312065","23SH16C","U"
"2312065","23CS11C","B"
"2312065","23EE11C","B+"
"2312066","23SH11C","B+"
"2312066","23SH12C","O"
"2312066","23SH13C","C"
"2312066","23SH14C","B+"
"2312066","23SH15C","A+"
"2312066","23SH16C","C"
"2312066","23CS11C","B"
"2312066","23EE11C","A"
"2312067","23SH11C","A"
"2312067","23SH12C","U"
"2312067","23SH13C","B"
"2312067","23SH14C","B+"
"2312067","23SH15C","O"
"2312067","23SH16C","C"
"2312067","23CS11C","B+"
"2312067","23EE11C","A+"
"2312069","23SH11C","O"
"2312069","23SH12C","C"
"2312069","23SH13C","B+"
"2312069","23SH14C","A+"
"2312069","23SH15C","C"
"2312069","23SH16C","B"
"2312069","23CS11C","A"
"2312069","23EE11C","U"
"2312070","23SH11C","U"
"2312070","23SH12C","B"
"2312070","23SH13C","B+"
"2312070","23SH14C","O"
"2312070","23SH15C","C"
"2312070","23SH16C","B+"
"2312070","23CS11C","A+"
"2312070","23EE11C","C"
"2312071","23SH11C","C"
"2312071","23SH12C","B"
"2312071","23SH13C","A"
"2312071","23SH14C","U"
"2312071","23SH15C","B"
"2312071","23SH16C","B+"
"2312071","23CS11C","O"
"2312071","23EE11C","C"
"2312072","23SH11C","C"
"2312072","23SH12C","B+"
"2312072","23SH13C","A+"
"2312072","23SH14C","C"
"2312072","23SH15C","B"
"2312072","23SH16C","A"
"2312072","23CS11C","U"
"2312072","23EE11C","B"
"2312073","23SH11C","B"
"2312073","23SH12C","B+"
"2312073","23SH13C","O"
"2312073","23SH14C","C"
"2312073","23SH15C","B+"
"2312073","23SH16C","A+"
"2312073","23CS11C","C"
"2312073","23EE11C","B"
"2312075","23SH11C","B+"
"2312075","23SH12C","A+"
"2312075","23SH13C","C"
"2312075","23SH14C","B"
"2312075","23SH15C","A"
"2312075","23SH16C","U"
"2312075","23CS11C","B"
"2312075","23EE11C","B+"
"2312076","23SH11C","B+"
"2312076","23SH12C","O"
"2312076","23SH13C","C"
"2312076","23SH14C","B+"
"2312076","23SH15C","A+"
"2312076","23SH16C","C"
"2312076","23CS11C","B"
"2312076","23EE11C","A"
"2312077","23SH11C","A"
"2312077","23SH12C","U"
"2312077","23SH13C","B"
"2312077","23SH14C","B+"
"2312077","23SH15C","O"
"2312077","23SH16C","C"
"2312077","23CS11C","B+"
"2312077","23EE11C","A+"
"2312078","23SH11C","A+"
"2312078","23SH12C","C"
"2312078","23SH13C","B"
"2312078","23SH14C","A"
"2312078","23SH15C","U"
"2312078","23SH16C","B"
"2312078","23CS11C","B+"
"2312078","23EE11C","O"
"2312079","23SH11C","O"
"2312079","23SH12C","C"
"2312079","23SH13C","B+"
"2312079","23SH14C","A+"
"2312079","23SH15C","C"
"2312079","23SH16C","B"
"2312079","23CS11C","A"
"2312079","23EE11C","U"
"2312080","23SH11C","U"
"2312080","23SH12C","B"
"2312080","23SH13C","B+"
"2312080","23SH14C","O"
"2312080","23SH15C","C"
"2312080","23SH16C","B+"
"2312080","23CS11C","A+"
"2312080","23EE11C","C"
"2312081","23SH11C","C"
"2312081","23SH12C","B"
"2312081","23SH13C","A"
"2312081","23SH14C","U"
"2312081","23SH15C","B"
"2312081","23SH16C","B+"
"2312081","23CS11C","O"
"2312081","23EE11C","C"
"2312082","23SH11C","C"
"2312082","23SH12C","B+"
"2312082","23SH13C","A+"
"2312082","23SH14C","C"
"2312082","23SH15C","B"
"2312082","23SH16C","A"
"2312082","23CS11C","U"
"2312082","23EE11C","B"
"2312084","23SH11C","B"
"2312084","23SH12C","A"
"2312084","23SH13C","U"
"2312084","23SH14C","B"
"2312084","23SH15C","B+"
"2312084","23SH16C","O"
"2312084","23CS11C","C"
"2312084","23EE11C","B+"
"2312085","23SH11C","B+"
"2312085","23SH12C","A+"
"2312085","23SH13C","C"
"2312085","23SH14C","B"
"2312085","23SH15C","A"
"2312085","23SH16C","U"
"2312085","23CS11C","B"
"2312085","23EE11C","B+"
"2312086","23SH11C","B+"
"2312086","23SH12C","O"
"2312086","23SH13C","C"
"2312086","23SH14C","B+"
"2312086","23SH15C","A+"
"2312086","23SH16C","C"
"2312086","23CS11C","B"
"2312086","23EE11C","A"
"2312087","23SH11C","A"
"2312087","23SH12C","U"
"2312087","23SH13C","B"
"2312087","23SH14C","B+"
"2312087","23SH15C","O"
"2312087","23SH16C","C"
"2312087","23CS11C","B+"
"2312087","23EE11C","A+"
"2312088","23SH11C","A+"
"2312088","23SH12C","C"
"2312088","23SH13C","B"
"2312088","23SH14C","A"
"2312088","23SH15C","U"
"2312088","23SH16C","B"
"2312088","23CS11C","B+"
"2312088","23EE11C","O"
"2312089","23SH11C","O"
"2312089","23SH12C","C"
"2312089","23SH13C","B+"
"2312089","23SH14C","A+"
"2312089","23SH15C","C"
"2312089","23SH16C","B"
"2312089","23CS11C","A"
"2312089","23EE11C","U"
"2312090","23SH11C","U"
"2312090","23SH12C","B"
"2312090","23SH13C","B+"
"2312090","23SH14C","O"
"2312090","23SH15C","C"
"2312090","23SH16C","B+"
"2312090","23CS11C","A+"
"2312090","23EE11C","C"
"2312091","23SH11C","C"
"2312091","23SH12C","B"
"2312091","23SH13C","A"
"2312091","23SH14C","U"
"2312091","23SH15C","B"
"2312091","23SH16C","B+"
"2312091","23CS11C","O"
"2312091","23EE11C","C"
"2312092","23SH11C","C"
"2312092","23SH12C","B+"
"2312092","23SH13C","A+"
"2312092","23SH14C","C"
"2312092","23SH15C","B"
"2312092","23SH16C","A"
"2312092","23CS11C","U"
"2312092","23EE11C","B"
"2312093","23SH11C","B"
"2312093","23SH12C","B+"
"2312093","23SH13C","O"
"2312093","23SH14C","C"
"2312093","23SH15C","B+"
"2312093","23SH16C","A+"
"2312093","23CS11C","C"
"2312093","23EE11C","B"
"2312094","23SH11C","B"
"2312094","23SH12C","A"
"2312094","23SH13C","U"
"2312094","23SH14C","B"
"2312094","23SH15C","B+"
"2312094","23SH16C","O"
"2312094","23CS11C","C"
"2312094","23EE11C","B+"
"2312095","23SH11C","B+"
"2312095","23SH12C","A+"
"2312095","23SH13C","C"
"2312095","23SH14C","B"
"2312095","23SH15C","A"
"2312095","23SH16C","U"
"2312095","23CS11C","B"
"2312095","23EE11C","B+"
"2312096","23SH11C","B+"
"2312096","23SH12C","O"
"2312096","23SH13C","C"
"2312096","23SH14C","B+"
"2312096","23SH15C","A+"
"2312096","23SH16C","C"
"2312096","23CS11C","B"
"2312096","23EE11C","A"
"2312097","23SH11C","A"
"2312097","23SH12C","U"
"2312097","23SH13C","B"
"2312097","23SH14C","B+"
"2312097","23SH15C","O"
"2312097","23SH16C","C"
"2312097","23CS11C","B+"
"2312097","23EE11C","A+"
"2312098","23SH11C","A+"
"2312098","23SH12C","C"
"2312098","23SH13C","B"
"2312098","23SH14C","A"
"2312098","23SH15C","U"
"2312098","23SH16C","B"
"2312098","23CS11C","B+"
"2312098","23EE11C","O"
"2312099","23SH11C","O"
"2312099","23SH12C","C"
"2312099","23SH13C","B+"
"2312099","23SH14C","A+"
"2312099","23SH15C","C"
"2312099","23SH16C","B"
"2312099","23CS11C","A"
"2312099","23EE11C","U"
"2312100","23SH11C","U"
"2312100","23SH12C","B"
"2312100","23SH13C","B+"
"2312100","23SH14C","O"
"2312100","23SH15C","C"
"2312100","23SH16C","B+"
"2312100","23CS11C","A+"
"2312100","23EE11C","C"
"2312101","23SH11C","C"
"2312101","23SH12C","B"
"2312101","23SH13C","A"
"2312101","23SH14C","U"
"2312101","23SH15C","B"
"2312101","23SH16C","B+"
"2312101","23CS11C","O"
"2312101","23EE11C","C"
"2312102","23SH11C","C"
"2312102","23SH12C","B+"
"2312102","23SH13C","A+"
"2312102","23SH14C","C"
"2312102","23SH15C","B"
"2312102","23SH16C","A"
"2312102","23CS11C","U"
"2312102","23EE11C","B"
"2312103","23SH11C","B"
"2312103","23SH12C","B+"
"2312103","23SH13C","O"
"2312103","23SH14C","C"
"2312103","23SH15C","B+"
"2312103","23SH16C","A+"
"2312103","23CS11C","C"
"2312103","23EE11C","B"
"2312104","23SH11C","B"
"2312104","23SH12C","A"
"2312104","23SH13C","U"
"2312104","23SH14C","B"
"2312104","23SH15C","B+"
"2312104","23SH16C","O"
"2312104","23CS11C","C"
"2312104","23EE11C","B+"
"2312105","23SH11C","B+"
"2312105","23SH12C","A+"
"2312105","23SH13C","C"
"2312105","23SH14C","B"
"2312105","23SH15C","A"
"2312105","23SH16C","U"
"2312105","23CS11C","B"
"2312105","23EE11C","B+"
"2312106","23SH11C","B+"
"2312106","23SH12C","O"
"2312106","23SH13C","C"
"2312106","23SH14C","B+"
"2312106","23SH15C","A+"
"2312106","23SH16C","C"
"2312106","23CS11C","B"
"2312106","23EE11C","A"
"2312107","23SH11C","A"
"2312107","23SH12C","U"
"2312107","23SH13C","B"
"2312107","23SH14C","B+"
"2312107","23SH15C","O"
"2312107","23SH16C","C"
"2312107","23CS11C","B+"
"2312107","23EE11C","A+"
"2312108","23SH11C","A+"
"2312108","23SH12C","C"
"2312108","23SH13C","B"
"2312108","23SH14C","A"
"2312108","23SH15C","U"
"2312108","23SH16C","B"
"2312108","23CS11C","B+"
"2312108","23EE11C","O"
"2312109","23SH11C","O"
"2312109","23SH12C","C"
"2312109","23SH13C","B+"
"2312109","23SH14C","A+"
"2312109","23SH15C","C"
"2312109","23SH16C","B"
"2312109","23CS11C","A"
"2312109","23EE11C","U"
"2312111","23SH11C","C"
"2312111","23SH12C","B"
"2312111","23SH13C","A"
"2312111","23SH14C","U"
"2312111","23SH15C","B"
"2312111","23SH16C","B+"
"2312111","23CS11C","O"
"2312111","23EE11C","C"
"2312112","23SH11C","C"
"2312112","23SH12C","B+"
"2312112","23SH13C","A+"
"2312112","23SH14C","C"
"2312112","23SH15C","B"
"2312112","23SH16C","A"
"2312112","23CS11C","U"
"2312112","23EE11C","B"
"2312113","23SH11C","B"
"2312113","23SH12C","B+"
"2312113","23SH13C","O"
"2312113","23SH14C","C"
"2312113","23SH15C","B+"
"2312113","23SH16C","A+"
"2312113","23CS11C","C"
"2312113","23EE11C","B"
"2312114","23SH11C","B"
"2312114","23SH12C","A"
"2312114","23SH13C","U"
"2312114","23SH14C","B"
"2312114","23SH15C","B+"
"2312114","23SH16C","O"
"2312114","23CS11C","C"
"2312114","23EE11C","B+"
"2312116","23SH11C","B+"
"2312116","23SH12C","O"
"2312116","23SH13C","C"
"2312116","23SH14C","B+"
"2312116","23SH15C","A+"
"2312116","23SH16C","C"
"2312116","23CS11C","B"
"2312116","23EE11C","A"
"2312118","23SH11C","A+"
"2312118","23SH12C","C"
"2312118","23SH13C","B"
"2312118","23SH14C","A"
"2312118","23SH15C","U"
"2312118","23SH16C","B"
"2312118","23CS11C","B+"
"2312118","23EE11C","O"
"2312119","23SH11C","O"
"2312119","23SH12C","C"
"2312119","23SH13C","B+"
"2312119","23SH14C","A+"
"2312119","23SH15C","C"
"2312119","23SH16C","B"
"2312119","23CS11C","A"
"2312119","23EE11C","U"
"2312120","23SH11C","U"
"2312120","23SH12C","B"
"2312120","23SH13C","B+"
"2312120","23SH14C","O"
"2312120","23SH15C","C"
"2312120","23SH16C","B+"
"2312120","23CS11C","A+"
"2312120","23EE11C","C"
"2312121","23SH11C","C"
"2312121","23SH12C","B"
"2312121","23SH13C","A"
"2312121","23SH14C","U"
"2312121","23SH15C","B"
"2312121","23SH16C","B+"
"2312121","23CS11C","O"
"2312121","23EE11C","C"
"2312122","23SH11C","C"
"2312122","23SH12C","B+"
"2312122","23SH13C","A+"
"2312122","23SH14C","C"
"2312122","23SH15C","B"
"2312122","23SH16C","A"
"2312122","23CS11C","U"
"2312122","23EE11C","B"
"2312123","23SH11C","B"
"2312123","23SH12C","B+"
"2312123","23SH13C","O"
"2312123","23SH14C","C"
"2312123","23SH15C","B+"
"2312123","23SH16C","A+"
"2312123","23CS11C","C"
"2312123","23EE11C","B"
"2312124","23SH11C","B"
"2312124","23SH12C","A"
"2312124","23SH13C","U"
"2312124","23SH14C","B"
"2312124","23SH15C","B+"
"2312124","23SH16C","O"
"2312124","23CS11C","C"
"2312124","23EE11C","B+"
"2312125","23SH11C","B+"
"2312125","23SH12C","A+"
"2312125","23SH13C","C"
"2312125","23SH14C","B"
"2312125","23SH15C","A"
"2312125","23SH16C","U"
"2312125","23CS11C","B"
"2312125","23EE11C","B+"
"2312126","23SH11C","B+"
"2312126","23SH12C","O"
"2312126","23SH13C","C"
"2312126","23SH14C","B+"
"2312126","23SH15C","A+"
"2312126","23SH16C","C"
"2312126","23CS11C","B"
"2312126","23EE11C","A"
"2312127","23SH11C","A"
"2312127","23SH12C","U"
"2312127","23SH13C","B"
"2312127","23SH14C","B+"
"2312127","23SH15C","O"
"2312127","23SH16C","C"
"2312127","23CS11C","B+"
"2312127","23EE11C","A+"
"2312128","23SH11C","A+"
"2312128","23SH12C","C"
"2312128","23SH13C","B"
"2312128","23SH14C","A"
"2312128","23SH15C","U"
"2312128","23SH16C","B"
"2312128","23CS11C","B+"
"2312128","23EE11C","O"
"2212110","23SH11C","U"
"2212110","23SH12C","B"
"2212110","23SH13C","B+"
"2212110","23SH14C","O"
"2212110","23SH15C","C"
"2212110","23SH16C","B+"
"2212110","23CS11C","A+"
"2212110","23EE11C","C"
"2312401","23SH11C","C"
"2312401","23SH12C","B"
"2312401","23SH13C","A"
"2312401","23SH14C","U"
"2312401","23SH15C","B"
"2312401","23SH16C","B+"
"2312401","23CS11C","O"
"2312401","23EE11C","C"
"2312402","23SH11C","C"
